trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum
123466949,376423,142408,15433368,othdiscr,1,False,1,Home,1018,1018,,23.0,SHARED2FREE,0.028144094715658055
123467057,376423,142408,15433382,work,1,True,1,work,1441,1018,,7.0,DRIVEALONEFREE,-3.949831776894385
123467061,376423,142408,15433382,work,1,False,2,work,1059,1441,7.143855246538175,16.0,DRIVEALONEFREE,-1.837813513868663
123467062,376423,142408,15433382,work,2,False,2,Home,1018,1059,,20.0,DRIVEALONEFREE,-4.847341102285297
123505481,376541,142561,15438185,atwork,1,True,1,atwork,1158,1158,,13.0,DRIVEALONEFREE,-0.026136886318616673
123505485,376541,142561,15438185,atwork,1,False,2,eatout,1005,1158,9.77427709204855,13.0,DRIVEALONEFREE,-0.7386802035776053
123505486,376541,142561,15438185,atwork,2,False,2,Work,1158,1005,,13.0,DRIVEALONEFREE,-0.7816995751112262
123505761,376541,142561,15438220,work,1,True,2,escort,1009,1018,10.625516830435803,8.0,DRIVEALONEFREE,0.007969389853549273
123505762,376541,142561,15438220,work,2,True,2,work,1158,1009,,8.0,DRIVEALONEFREE,-0.8459376152239265
123505765,376541,142561,15438220,work,1,False,1,Home,1018,1158,,13.0,DRIVEALONEFREE,-1.3795905236634436
123506305,376543,142561,15438288,othdiscr,1,True,1,othdiscr,1035,1018,,9.0,DRIVEALONEFREE,-0.06778200090545469
123506309,376543,142561,15438288,othdiscr,1,False,2,othmaint,993,1035,11.965766653262436,17.0,DRIVEALONEFREE,-0.2635221527602492
123506310,376543,142561,15438288,othdiscr,2,False,2,Home,1018,993,,17.0,TNC_SINGLE,-0.6464931179842586
124006025,378067,143644,15500753,eatout,1,True,1,eatout,1008,1018,,18.0,WALK,-0.7131842262457685
124006029,378067,143644,15500753,eatout,1,False,1,Home,1018,1008,,18.0,WALK,-0.7132109312534098
124006241,378067,143644,15500780,shopping,1,True,1,shopping,1003,1018,,10.0,SHARED3FREE,0.6592846380250342
124006245,378067,143644,15500780,shopping,1,False,1,Home,1018,1003,,18.0,SHARED3FREE,-1.4791301401855503
132366921,403557,154995,16545865,othmaint,1,True,1,othmaint,1009,1009,,5.0,WALK,-0.09119164187972331
132366925,403557,154995,16545865,othmaint,1,False,1,Home,1009,1009,,6.0,WALK,-0.09119164187972331
132367009,403557,154995,16545876,work,1,True,1,work,87,1009,,7.0,DRIVEALONEFREE,-1.8794079461991116
132367013,403557,154995,16545876,work,1,False,1,Home,1009,87,,19.0,DRIVEALONEFREE,-2.189294907826117
133635385,407424,156810,16704423,work,1,True,2,othdiscr,1018,1009,14.114905130392634,7.0,WALK_LOC,0.5330578676742579
133635386,407424,156810,16704423,work,2,True,2,work,991,1018,,9.0,WALK_LOC,-0.027387743757238004
133635389,407424,156810,16704423,work,1,False,3,shopping,1008,991,13.089746252994807,14.0,TNC_SINGLE,-0.08213978296434604
133635390,407424,156810,16704423,work,2,False,3,escort,1018,1008,14.475491476993069,14.0,TNC_SHARED,0.5999317851195718
133635391,407424,156810,16704423,work,3,False,3,Home,1009,1018,,14.0,WALK_LOC,0.5666483089415082
134445193,409893,158246,16805649,social,1,True,1,social,1006,1006,,8.0,BIKE,-0.1900452222982896
134445197,409893,158246,16805649,social,1,False,1,Home,1006,1006,,11.0,BIKE,-0.1900452222982896
138193881,421322,163968,17274235,shopping,1,True,1,shopping,1011,994,,18.0,WALK,-1.5297768354465087
138193885,421322,163968,17274235,shopping,1,False,1,Home,994,1011,,22.0,WALK,-1.5297790569234655
138194169,421323,163968,17274271,othmaint,1,True,1,othmaint,977,994,,9.0,DRIVEALONEFREE,-0.3283720823517392
138194173,421323,163968,17274271,othmaint,1,False,1,Home,994,977,,10.0,DRIVEALONEFREE,-0.6121930218355698
138194585,421324,163968,17274323,work,1,True,1,work,977,994,,11.0,WALK,-4.220897078555935
138194589,421324,163968,17274323,work,1,False,1,Home,994,977,,21.0,WALK,-4.220891497885774
153569825,468200,184205,19196228,othmaint,1,True,1,othmaint,921,959,,18.0,TNC_SINGLE,0.40692412496335884
153569829,468200,184205,19196228,othmaint,1,False,1,Home,959,921,,19.0,DRIVEALONEFREE,0.36511773269625636
153569913,468200,184205,19196239,work,1,True,1,work,1136,959,,7.0,DRIVEALONEFREE,-0.7358601116139246
153569917,468200,184205,19196239,work,1,False,1,Home,959,1136,,18.0,DRIVEALONEFREE,-0.8346895879394722
153797217,468893,184862,19224652,work,1,True,1,work,971,956,,7.0,WALK_LOC,-1.4668518674522695
153797221,468893,184862,19224652,work,1,False,1,Home,956,971,,16.0,WALK_LOC,-1.5168745535007069
