process,time,rss,used,available,percent,event
mp_households_1, 15/08/2022 22:21:32, 1.18, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:32, 1.18, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.choices_df
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.01, 115.14, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.utilities
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.01, 115.14, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.interaction_utilities
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.01, 115.13, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.probs
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.01, 115.13, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.utilities
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.02, 115.13, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.choices_df
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.02, 115.13, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.probs
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.02, 115.13, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.choices_df
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.02, 115.13, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:33, 1.37, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
mp_households_1, 15/08/2022 22:21:33, 1.38, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
mp_households_1, 15/08/2022 22:21:33, 1.38, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
mp_households_1, 15/08/2022 22:21:33, 1.38, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
mp_households_1, 15/08/2022 22:21:33, 1.38, 1.02, 115.13, 6.9%, school_location.i1.logsums.gradeschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
mp_households_1, 15/08/2022 22:21:34, 1.38, 1.02, 115.13, 6.9%, school_location.i1.simulate.gradeschool.interaction_sample_simulate.add.interaction_df
