dest_taz,utility
417,-5.272989603992064
418,-4.272487884675324
419,-7.583827184075136
420,-5.9165571839581235
421,-6.745373332917897
422,-5.632765749225508
423,-6.650438368423705
424,-5.437066043875474
425,-5.2454037865660466
426,-4.424441779969098
427,-3.2767546420303404
428,-3.2715037501780557
429,-5.317158396928493
430,-4.321641168710095
431,-5.392378654473038
432,-2.482728815576186
433,-5.7309366819954155
434,-5.384889181480132
435,-3.6753862693108053
436,-4.724987608226007
437,-4.226375915139617
438,-5.850621848069002
439,-4.367650044733238
440,-6.951270015003989
441,-4.727652711499449
442,-5.415864518771044
443,-8.942036932930478
444,-4.5130435184974615
445,-4.7693844159288
446,-4.765157820786985
447,-5.478432742864656
448,-4.168985694851105
449,-3.6374156940352496
450,-4.074762190980638
451,-4.021183890352622
452,-7.60529255180529
453,-4.126775574325987
454,-9.043556334568615
455,-4.813842074765048
456,-4.2180709454523
457,-7.55269779519438
458,-7.706184036777447
459,-4.457680729767801
460,-4.22821240463302
461,-7.647014830485375
462,-3.919648352283753
463,-4.30806044116075
464,-8.845988283641978
465,-3.1772352986509755
466,-1.3740369255663047
467,-3.4770809016380504
468,-4.729246831804425
469,-5.413796462054107
470,-5.124966172746919
471,-3.7631381044384007
472,-7.206455229830322
473,-6.868827160618903
474,-7.062753002182492
475,-3.527708795876568
476,-4.129256395537755
477,-5.546217637028645
478,-3.2772568989852866
479,-7.6994269188203095
480,-7.26828650946059
481,-5.951640321210849
482,-9.426941639980999
483,-5.748480146708543
484,-5.154757810860343
485,-3.8826285403032585
486,-4.164875847602956
487,-5.548657639126989
488,-8.630276389602226
489,-8.803057166562986
490,-5.263904335651653
491,-5.350094890607461
492,-5.780616266006223
493,-7.701891372269942
494,-6.893204254063849
495,-10.398560304199126
496,-8.357078032254666
497,-8.885149340520522
498,-5.170974280149775
499,-4.7729167594526185
500,-9.593629661204519
501,-7.360754449745981
502,-4.568818815948319
503,-4.705099353831447
504,-4.030293745908979
505,-9.893445720211021
506,-7.3800150998425975
507,-6.728882422573455
508,-7.435924008926878
509,-5.672544206402587
510,-9.293558345905137
511,-5.312136062390357
512,-11.9489198856463
513,-10.099662965304852
514,-5.867608096081495
515,-7.454638395312829
516,-10.401080217542154
517,-6.2480595796502625
518,-4.468951129626928
519,-6.578232165533129
