TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment,TAZ,TAZ_chooser,school_segment,household_id
336,939.0,1,0,336,755,1,456291
337,279.0,1,0,337,755,1,456291
338,538.0,1,0,338,755,1,456291
339,595.0,1,0,339,755,1,456291
340,569.0,1,0,340,755,1,456291
341,505.0,1,0,341,755,1,456291
342,753.0,1,0,342,755,1,456291
343,461.0,1,0,343,755,1,456291
344,839.0,1,0,344,755,1,456291
345,962.0,1,0,345,755,1,456291
346,552.0,1,0,346,755,1,456291
347,1463.0,1,0,347,755,1,456291
348,0.0,1,0,348,755,1,456291
349,172.0,1,0,349,755,1,456291
350,414.0,1,0,350,755,1,456291
351,775.0,1,0,351,755,1,456291
352,75.0,1,0,352,755,1,456291
353,322.0,1,0,353,755,1,456291
354,68.0,1,0,354,755,1,456291
355,277.0,1,0,355,755,1,456291
356,734.0,1,0,356,755,1,456291
357,1082.0,1,0,357,755,1,456291
358,1233.0,1,0,358,755,1,456291
359,799.0,1,0,359,755,1,456291
360,1032.0,1,0,360,755,1,456291
361,1455.0,1,0,361,755,1,456291
362,1037.0,1,0,362,755,1,456291
363,540.0,1,0,363,755,1,456291
364,426.0,1,0,364,755,1,456291
365,447.0,1,0,365,755,1,456291
366,937.0,1,0,366,755,1,456291
367,1302.0,1,0,367,755,1,456291
368,856.0,1,0,368,755,1,456291
369,932.0,1,0,369,755,1,456291
370,809.0,1,0,370,755,1,456291
371,733.0,1,0,371,755,1,456291
372,914.0,1,0,372,755,1,456291
373,560.0,1,0,373,755,1,456291
374,361.0,1,0,374,755,1,456291
375,380.0,1,0,375,755,1,456291
376,557.0,1,0,376,755,1,456291
377,513.0,1,0,377,755,1,456291
378,235.0,1,0,378,755,1,456291
379,867.0,1,0,379,755,1,456291
380,563.0,1,0,380,755,1,456291
381,1236.0,1,0,381,755,1,456291
382,525.0,1,0,382,755,1,456291
383,508.0,1,0,383,755,1,456291
384,1064.0,1,0,384,755,1,456291
385,555.0,1,0,385,755,1,456291
386,560.0,1,0,386,755,1,456291
387,813.0,1,0,387,755,1,456291
388,1312.0,1,0,388,755,1,456291
389,1025.0,1,0,389,755,1,456291
390,406.0,1,0,390,755,1,456291
391,916.0,1,0,391,755,1,456291
392,552.0,1,0,392,755,1,456291
393,648.0,1,0,393,755,1,456291
394,710.0,1,0,394,755,1,456291
395,494.0,1,0,395,755,1,456291
396,1.0,1,0,396,755,1,456291
397,289.0,1,0,397,755,1,456291
398,318.0,1,0,398,755,1,456291
399,0.0,1,0,399,755,1,456291
400,605.0,1,0,400,755,1,456291
401,136.0,1,0,401,755,1,456291
402,218.0,1,0,402,755,1,456291
403,5.0,1,0,403,755,1,456291
404,506.0,1,0,404,755,1,456291
405,4.0,1,0,405,755,1,456291
406,4.0,1,0,406,755,1,456291
407,0.0,1,0,407,755,1,456291
408,2.0,1,0,408,755,1,456291
409,0.0,1,0,409,755,1,456291
410,334.0,1,0,410,755,1,456291
411,0.0,1,0,411,755,1,456291
412,1772.0,1,0,412,755,1,456291
413,1737.0,1,0,413,755,1,456291
414,699.0,1,0,414,755,1,456291
415,563.0,1,0,415,755,1,456291
416,1452.0,1,0,416,755,1,456291
417,0.0,1,0,417,755,1,456291
418,180.0,1,0,418,755,1,456291
419,664.0,1,0,419,755,1,456291
420,532.0,1,0,420,755,1,456291
421,797.0,1,0,421,755,1,456291
422,698.0,1,0,422,755,1,456291
423,1022.0,1,0,423,755,1,456291
424,1611.0,1,0,424,755,1,456291
425,814.0,1,0,425,755,1,456291
426,279.0,1,0,426,755,1,456291
427,36.0,1,0,427,755,1,456291
428,105.0,1,0,428,755,1,456291
429,0.0,1,0,429,755,1,456291
430,0.0,1,0,430,755,1,456291
431,1.0,1,0,431,755,1,456291
432,107.0,1,0,432,755,1,456291
433,1064.0,1,0,433,755,1,456291
434,23.0,1,0,434,755,1,456291
435,363.0,1,0,435,755,1,456291
436,682.0,1,0,436,755,1,456291
437,1193.0,1,0,437,755,1,456291
438,799.0,1,0,438,755,1,456291
439,586.0,1,0,439,755,1,456291
440,958.0,1,0,440,755,1,456291
441,710.0,1,0,441,755,1,456291
442,620.0,1,0,442,755,1,456291
443,892.0,1,0,443,755,1,456291
444,1138.0,1,0,444,755,1,456291
445,1496.0,1,0,445,755,1,456291
446,1124.0,1,0,446,755,1,456291
447,571.0,1,0,447,755,1,456291
448,904.0,1,0,448,755,1,456291
449,888.0,1,0,449,755,1,456291
450,684.0,1,0,450,755,1,456291
451,1005.0,1,0,451,755,1,456291
452,604.0,1,0,452,755,1,456291
453,1558.0,1,0,453,755,1,456291
454,822.0,1,0,454,755,1,456291
455,480.0,1,0,455,755,1,456291
456,1587.0,1,0,456,755,1,456291
457,1064.0,1,0,457,755,1,456291
458,1027.0,1,0,458,755,1,456291
459,1556.0,1,0,459,755,1,456291
460,656.0,1,0,460,755,1,456291
461,848.0,1,0,461,755,1,456291
462,1033.0,1,0,462,755,1,456291
463,513.0,1,0,463,755,1,456291
